"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"2554",3046,656,474,361,344,143,455,483,348,584
"2555",9,9,3,5,4,1,3,4,48,4
"2556",3155,2428,1753,4369,2754,1456,1435,2625,2834,1621
"2557",7795,5930,2974,9435,4892,6550,30957,7064,5960,4324
"2558",1,117,22,57,59,26,5,97,56,22
"2559",811,501,271,905,807,405,240,628,731,375
"2560",21,2,1,3,4,1,13,3,4,0
"2561",11,5,35,9,9,8,0,31,16,15
"2562",277,277,23,82,284,184,163,155,28,218
"2563",10092,6270,27543,10234,9069,4795,4896,6125,5319,6694
"2564",0,0,0,18,0,0,1,11,1,36
"2565",8,1,0,8,0,4,2,0,0,3
"2566",244,637,135,523,341,317,225,790,119,530
"2567",6696,7469,4417,4027,7122,46712,5884,11099,7055,6435
"2568",9531,1546,731,1235,2213,644,1198,1882,1082,1062
"2569",1912,1957,1236,2234,1400,1499,1892,2286,1632,1472
"2570",17,19,9,239,20,10,20,29,27,15
"2571",345,271,138,269,243,207,318,193,114,351
"2572",328,357,219,245,508,488,166,301,140,276
"2573",10,18,0,30,13,0,1,4,0,0
"2574",388,208,209,303,344,125,233,356,305,233
"2575",61,8,3,5,1,3,3,3,3,7
"2576",84,87,1281,30,148,80,46,45,14,116
"2577",71,101,44,400,114,42,33,67,50,48
"2578",5,1,3,2,4,3,2,6,2,3
"2579",395,255,310,317,434,276,327,362,299,366
"2580",69,38,127,325,286,231,375,40,139,39
"2581",11042,13452,11706,39166,11917,14611,10576,15474,7686,7886
"2582",1000,541,618,1338,1179,458,786,837,598,517
"2583",409,199,130,320,148,167,283,199,72,152
"2584",15,3,5,5,42,7,3,12,8,10
"2585",1106,426,341,536,634,558,494,772,594,498
"2586",333,826,66,1309,8,253,189,202,17,426
"2587",6,9,2,10,2,9,4,13,5,13
"2588",26,21,15,26,17,6,15,15,4,9
"2589",1878,2130,944,1187,1066,1078,871,1142,354,1211
"2590",5,8,30,5,16,26,1,24,24,15
"2591",147,102,422,123,134,145,129,116,133,108
"2592",4,42,5,23,97,36,29,26,27,26
"2593",293,148,93,277,86,91,109,93,135,90
"2594",78,117,31,2149,93,12,4,30,18,42
"2595",1047,151,95,167,209,172,74,86,140,106
"2596",1219,1550,559,1453,10984,872,701,833,543,886
"2597",465,766,323,669,646,444,517,542,508,81
"2598",4,4,5,8,0,16,1,7,0,1
"2599",29,34,44,42,205,15,35,94,114,27
"2600",1366,1232,890,1215,1174,1087,1223,1168,3505,679
"2601",1557,947,568,514,1075,675,666,800,788,909
"2602",108,6,3,0,24,8,13,28,89,1
"2603",84,98,102,207,161,147,242,110,18,198
"2604",340,160,57,410,159,208,76,317,93,230
"2605",596,450,349,1140,249,460,64,163,178,166
"2606",99,76,40,43,103,88,159,151,45,48
"2607",525,56,9,65,80,63,60,19,38,11
"2608",4986,3645,6891,8271,7828,7647,6825,5916,2158,11838
"2609",6,0,15,0,12,7,38,2,5,19
"2610",15,2,6,21,39,9,8,12,17,0
"2611",6511,4665,2005,4588,7018,4285,2581,5185,5317,4852
"2612",14537,13082,7858,11175,15722,8230,10193,15438,12223,10552
"2613",783,1166,714,898,883,863,402,540,4525,826
"2614",781,705,399,617,574,678,614,513,379,533
"2615",5,5,1,4,10,0,0,8,6,0
"2616",53,17,34,51,56,17,30,9,15,117
"2617",360,296,99,451,569,134,577,308,209,302
"2618",1,2,0,0,0,0,6,0,2,2
"2619",8468,2068,1290,1888,1295,1587,1461,1899,1308,976
"2620",116,85,81,207,101,57,200,250,127,75
"2621",380,587,400,795,589,313,463,383,518,303
"2622",5,6,14,1,5,2,5,10,9,2
"2623",221,5314,221,729,653,917,347,1022,431,5639
"2624",73,29,46,14,9,117,32,7,59,27
"2625",1532,831,1043,1849,1344,1031,1238,14332,905,1451
"2626",137,792,44,99,56,58,61,17,42,37
"2627",589,2547,184,24603,858,674,1074,11358,675,2578
"2628",2507,996,949,2002,9062,1232,2645,1293,1024,1859
"2629",2068,2261,1684,7257,1351,3943,2476,1077,12547,2263
"2630",159,23,82,20,172,51,17,93,84,9
"2631",108,141,124,112,31,67,1,1,11,373
"2632",720,66,417,346,574,6673,425,133,350,67
"2633",2,14,7,144,88,27,46,57,7,45
"2634",90,19,14,29,25,6,40,133,8,11
"2635",172,259,95,108,220,121,85,183,58,75
"2636",479,1334,1208,1487,1040,1190,153,1781,1096,540
"2637",1266,439,358,4426,788,710,633,704,443,781
"2638",644,324,248,623,342,445,207,450,330,282
"2639",112,41,17,93,22,363,59,67,40,56
"2640",91,45,72,78,95,50,42,54,55,45
"2641",992,649,348,813,694,709,890,906,494,511
"2642",9,1,3,6,14,5,0,2,8,1
"2643",507,359,269,319,323,418,333,281,360,267
"2644",6,3,1,10,16,3,0,1,13,5
"2645",785,3301,2517,2600,1636,10481,1446,1060,802,1564
"2646",10465,8686,36898,3462,10198,35770,6626,10830,10017,6205
"2647",24338,1972,1342,1969,2443,2105,1332,37628,1246,2148
"2648",229,69,201,57,346,340,423,248,299,89
"2649",97,89,158,398,299,262,1064,351,91,317
"2650",473,548,179,360,421,495,176,297,137,49
"2651",27,0,3,0,3,0,1,3,0,0
"2652",378,221,173,442,382,283,373,396,386,233
"2653",188,248,81,92,168,80,124,113,91,133
"2654",2,11,1,3,0,0,2,0,9,11
"2655",5700,4795,3017,2827,4569,7958,3142,5603,1622,3246
"2656",8,14,6,8,7,7,3,2,4,2
"2657",17,25,108,76,184,10,13,229,37,64
"2658",892,998,514,738,657,1056,400,893,986,483
"2659",4242,1046,1008,6072,2502,943,1660,408,2246,3043
"2660",2,0,3,10,3,0,0,14,4,1
"2661",2313,1193,534,920,683,1023,985,2714,706,1518
"2662",0,0,0,49,11,0,4,0,2,0
"2663",2456,1496,1527,1926,2284,1103,1471,2696,962,1806
"2664",15,19,5,55,60,32,20,31,32,28
"2665",101,58,111,117,48,98,44,103,43,48
"2666",6181,7988,3843,7578,5142,5991,4879,5149,44806,4852
"2667",3142,2841,2323,2441,5965,10845,2238,2508,2067,1525
"2668",506,370,346,135,793,196,355,455,183,191
"2669",278,413,305,521,504,318,398,325,373,357
"2670",10,27,23,29,60,33,12,21,6,95
"2671",10,6,3,4,2,4,3,1,4,3
"2672",2,1,10,12,5,0,3,5,3,2
"2673",708,817,667,786,702,760,693,1053,765,654
"2674",1748,2529,1286,1752,2905,1975,837,1172,1287,1645
"2675",647,468,226,461,489,331,422,536,4085,400
"2676",2671,121,112,186,129,157,121,197,183,77
"2677",14,33,13,20,167,32,10,38,25,13
"2678",40,22,3,6,22,528,99,75,7,26
"2679",20,0,56,0,50,593,134,25,56,31
"2680",14,22,41,103,14,35,16,28,26,42
"2681",1874,497,1463,1783,987,747,441,1423,685,1368
"2682",7,14,3,4,9,3,8,19,2,7
"2683",97,55,7,2,71,25,12,35,2,21
"2684",1353,530,309,735,751,855,688,1070,311,375
"2685",12252,1074,343,1154,882,870,831,604,1111,1302
"2686",14,4,7,17,5,3,6,16,5,19
"2687",51,437,24,66,36,94,34,47,27,34
"2688",162,58,90,404,68,78,61,44,34,89
"2689",14441,7282,4930,7489,6214,7778,8935,4298,9275,7256
"2690",12,5,1,5,8,8,7,17,4,5
"2691",23,0,5,26,10,2,4,9,12,0
"2692",10,6,7,2,10,120,1,1,4,7
"2693",510,421,866,860,30,661,655,2754,2408,1189
"2694",1021,1558,565,1635,1014,941,920,934,1184,883
"2695",63,2,62,25,83,8,27,22,11,24
"2696",35,12,24,40,27,6,13,27,13,10
"2697",169,100,519,82,141,163,348,64,728,63
"2698",112,98,47,196,169,12,111,251,124,85
"2699",133,191,127,66,126,152,156,59,181,174
"2700",21,47,20,9,152,294,34,0,16,2
"2701",46,58,30,35,15,23,51,31,42,33
"2702",2525,2594,1697,1965,2467,1779,2239,1723,1550,2289
"2703",218,223,199,204,339,255,181,236,105,158
"2704",649,1278,1129,908,2249,2124,602,740,8041,2387
"2705",71,76,367,125,397,104,41,44,51,38
"2706",582,234,136,272,758,413,405,102,189,393
"2707",822,464,444,460,199,192,407,1011,433,362
"2708",26,0,3,8,0,85,6,57,11,6
"2709",2734,1820,1394,2285,2198,1492,1584,2320,13123,1582
"2710",297,421,197,3443,383,171,334,143,229,292
"2711",11349,1681,1288,1623,2309,1642,1127,1729,1380,1253
"2712",16,10,5,8,17,2,19,14,10,3
"2713",227,98,127,284,2141,268,91,147,146,145
"2714",142,29,92,78,6,46,114,75,0,15
"2715",472,828,145,357,427,506,762,669,342,306
"2716",3921,4801,1629,1224,4144,1948,3963,5148,2499,4585
"2717",1321,1126,576,1237,1797,722,1063,900,616,798
"2718",7782,10723,2340,6712,4848,8789,4738,4858,3471,7585
"2719",134,109,64,119,584,977,46,43,22,120
"2720",475,665,346,702,528,315,296,431,489,318
"2721",697,416,365,622,733,403,512,409,255,356
"2722",10,16,0,0,0,49,1,4,0,1
"2723",485,155,254,350,999,330,459,299,265,3743
"2724",2090,1549,956,1934,1976,1026,1292,1052,1106,990
"2725",27,57,408,8,23,17,345,28,24,12
"2726",597,319,169,255,554,223,343,253,248,220
"2727",38,32,77,619,40,24,33,41,39,22
"2728",1311,200,276,273,179,112,193,2923,1269,129
"2729",31,19,14,17,28,10,12,32,21,13
"2730",1038,648,87,1048,431,369,407,237,220,490
"2731",0,5,3,3,0,4,0,3,4,8
"2732",46,93,5,43,27,36,39,105,118,68
"2733",3453,2175,544,2051,2167,877,1703,1252,1562,1405
"2734",249,14,3,19,41,59,26,25,11,21
"2735",297,395,261,362,434,370,296,228,285,236
"2736",59,63,86,77,129,87,753,28,65,46
"2737",4,16,33,17,26,8,13,8,6,11
"2738",102,73,73,174,81,62,77,98,64,85
"2739",568,411,262,444,332,395,358,280,317,258
"2740",1172,732,749,2201,886,1024,1152,939,1345,862
"2741",45,39,7,94,51,31,12,25,23,35
"2742",0,12,9,12,0,12,20,36,0,4
"2743",35,27,175,22,11,60,207,22,5,12
"2744",8,47,39,22,88,26,44,31,14,27
"2745",412,271,138,2618,646,239,301,326,236,399
"2746",34,31,1,42,1,2,47,4,2,14
"2747",0,5,0,1,0,0,0,0,0,9
"2748",0,0,14,36,0,15,0,0,1,1
"2749",21,55,0,25,13,0,14,7,3,0
"2750",4076,9392,8058,10070,9710,6910,4126,10894,5295,63533
"2751",5,2,4,8,4,7,2,5,33,1
"2752",333,483,263,362,250,268,341,510,192,591
"2753",20,8,51,17,13,8,8,11,6,21
"2754",144,118,86,64,161,117,130,123,79,114
"2755",10,2,0,33,0,2,43,239,4,10
"2756",630,682,446,849,1020,536,905,1108,690,673
"2757",6077,2990,1354,163,3404,3324,2835,3008,54,4034
"2758",356,59,293,455,70,38,89,261,107,31
"2759",14,3,0,15,5,3,1,11,0,4
"2760",1152,1254,928,1341,1117,750,1078,1118,527,1281
"2761",89,142,71,65,90,84,133,103,65,48
"2762",40,56,8,59,26,70,48,83,34,74
"2763",59,63,149,209,138,429,227,21,59,90
"2764",1506,1499,739,1726,1208,6762,1390,805,627,1261
"2765",16,11,4,0,11,17,7,0,24,13
"2766",4,5,8,4,1,0,0,2,4,4
"2767",16131,3621,1558,19275,2125,2080,1971,2163,1343,1380
"2768",18,20,1,36,53,34,44,19,21,85
"2769",47,105,36,458,172,1,62,59,109,7
"2770",1617,716,485,878,519,814,657,743,569,693
"2771",1396,1170,593,1717,839,1219,1045,1233,609,887
"2772",42,41,59,0,0,0,17,18,17,45
"2773",3,7,15,28,9,9,35,11,2,17
"2774",2676,1525,1906,2580,1866,1493,2117,1544,1149,2596
"2775",8,4,1,4,2,0,0,8,2,2
"2776",3250,46477,3402,2549,3842,2855,25316,7287,4520,6603
"2777",61,10,0,37,13,50,14,5,0,29
"2778",700,572,473,491,4967,631,265,607,184,302
"2779",124,46,43,43,114,82,211,69,98,56
"2780",71,39,38,87,138,76,75,249,51,31
"2781",491,53,72,495,230,305,531,224,137,310
"2782",188,84,496,436,124,53,51,51,51,47
"2783",105,121,59,253,109,109,174,242,218,84
"2784",4,13,4,9,12,2,0,4,3,2
"2785",34,17,8,12,22,43,22,12,15,17
"2786",597,554,264,662,4110,136,373,511,481,304
"2787",637,576,368,768,674,589,553,999,346,919
"2788",1201,2237,756,1987,1021,1268,896,1063,755,1135
"2789",1034,1176,472,790,805,4456,916,799,922,569
"2790",61,367,17,58,90,29,48,27,27,63
"2791",24273,11842,6113,9953,37614,16678,14013,29865,1568,2727
"2792",547,153,47,70,248,54,99,8,68,8
"2793",428,524,272,704,505,511,279,614,346,297
"2794",31,33,51,14,95,22,50,71,230,53
"2795",614,3852,364,540,466,187,912,1165,529,2039
"2796",1127,1149,353,1099,605,480,754,714,604,435
"2797",21003,2801,863,1351,4556,2101,1786,3064,1363,2898
"2798",13,5,0,7,27,0,23,3,22,1
"2799",14844,18424,5408,14420,5766,12872,6180,128240,14160,7742
"2800",25,0,4,64,6,100,40,48,34,35
"2801",1817,2045,1247,2538,1810,1374,1974,1911,1090,1947
"2802",5,10,14,7,23,18,14,7,8,9
"2803",66,61,105,93,467,70,6,37,74,23
"2804",0,22,12,335,9,2,9,0,16,4
"2805",0,1,2,2,23,2,5,7,2,1
"2806",5225,3122,2473,2802,3587,2926,3643,3809,3147,3491
"2807",7,0,0,3,11,0,0,0,10,0
"2808",7,9,8,10,79,3,13,11,6,4
"2809",5,9,0,0,1,2,1,0,1,1
"2810",197,4,13,13,17,19,20,11,22,5
"2811",730,6864,437,549,926,509,820,628,742,318
"2812",98,94,111,147,154,1007,113,111,92,110
"2813",25,50,12,18,27,29,18,29,13,31
"2814",586,1419,529,762,778,764,700,773,573,517
"2815",27,24,23,53,77,38,46,29,39,122
"2816",172,76,126,93,103,42,133,208,60,31
"2817",29,666,4,42,85,18,1,16,12,12
"2818",5,3,0,1,16,5,0,0,5,1
"2819",786,352,638,519,676,518,571,585,271,624
"2820",1022,471,749,1081,462,636,498,1156,310,672
"2821",4,3,6,32,6,16,2,18,14,10
"2822",17,23,15,41,16,10,20,24,10,9
"2823",133,150,60,97,46,76,96,57,58,99
"2824",0,0,0,0,21,1,1,0,0,0
"2825",622,371,306,614,395,258,288,335,226,318
"2826",613,169,230,361,270,436,144,322,224,223
"2827",1945,1828,959,9005,1259,1460,1079,1787,1068,9658
"2828",157,69,37,147,66,59,150,207,86,39
"2829",32,43,22,5,44,13,14,16,11,2
"2830",429,276,331,303,586,652,395,495,398,534
"2831",66,102,11,184,223,181,215,77,46,75
"2832",102,149,63,183,197,94,106,211,169,175
"2833",485,699,4949,340,646,487,358,458,480,433
"2834",321,1932,234,425,263,90,145,377,203,198
"2835",2410,3329,1459,2249,2018,2805,2070,2392,1411,1046
"2836",825,701,494,461,451,151,446,592,309,608
"2837",64,68,26,63,56,85,65,65,416,64
"2838",11838,12016,6793,10400,8721,8801,8322,13052,7374,8951
"2839",311,710,188,347,859,190,274,250,159,346
"2840",1301,993,871,1205,856,1103,859,497,758,700
"2841",5805,3476,2455,3298,3760,2693,2049,3871,2854,10152
"2842",14321,18480,6817,26225,20701,12878,12117,11776,3846,9580
"2843",2968,2399,1182,1783,2250,1336,1466,2467,1466,1260
"2844",3,1,1,4,5,2,4,9,6,5
"2845",1531,1521,960,1267,1497,934,1403,2157,1387,1069
"2846",696,801,295,673,10028,844,560,648,598,636
"2847",5,1,3,0,3,0,3,4,10,5
"2848",3,4,9,5,13,3,8,11,3,0
"2849",431,286,308,3153,453,243,232,184,83,78
"2850",22,19,18,188,33,26,26,37,7,7
"2851",622,388,451,475,843,407,460,963,453,629
"2852",12,10,5,11,0,41,9,27,7,17
"2853",23,29,68,14,40,21,11,19,7,49
"2854",392,242,245,237,308,306,178,458,155,253
"2855",397,299,245,319,346,262,226,351,203,211
"2856",115,71,34,111,24,44,26,116,82,54
"2857",1844,894,585,723,1035,242,612,1194,1327,778
"2858",2565,2459,1371,1852,1279,2921,1884,3192,1563,2048
"2859",1341,951,1114,2119,811,2554,1454,1768,2237,1306
"2860",1082,1505,586,1550,1141,853,782,1216,1284,610
"2861",75,111,80,64,138,62,73,63,67,72
"2862",967,448,2248,3008,1372,2996,2262,362,1219,381
"2863",4156,4269,2947,3333,3237,2782,4534,3702,3279,2707
"2864",0,1,21,0,68,3,25,4,9,26
"2865",516,288,257,283,378,231,280,308,224,337
"2866",18,34,11,12,64,17,11,29,13,20
"2867",11000,2559,752,2305,1850,1849,2140,2733,1235,1387
"2868",193,464,121,587,155,570,171,47,66,208
"2869",12,13,6,11,7,8,12,6,4,4
"2870",76,29,73,141,822,108,121,291,108,42
"2871",1483,1038,1137,1163,1538,919,998,1227,1216,6511
"2872",248,1543,185,204,179,157,146,396,112,177
"2873",740,1379,603,860,1162,226,599,1083,401,642
"2874",72,13,43,121,16,78,41,23,45,35
"2875",1117,1155,864,838,1114,526,781,678,783,328
"2876",21,44,2,37,1,39,18,58,62,9
"2877",828,816,459,592,6193,736,728,1284,657,879
"2878",375,323,27,13,815,864,429,160,234,41
"2879",699,899,936,426,468,471,1364,728,247,131
"2880",5,4,1,0,2,6,1,5,0,7
"2881",24,176,316,441,3163,198,6,231,9,140
"2882",6782,8608,3909,5496,4404,4603,4838,2944,2487,4060
"2883",7,4,2,1,57,3,4,5,0,5
"2884",5,0,0,0,1,1,0,1,0,3
"2885",3,5,3,5,10,3,2,11,2,3
"2886",221,170,234,385,271,352,199,211,177,268
"2887",6150,1,717,70,1562,341,35,1094,2405,2294
"2888",105,95,47,49,4815,181,67,102,104,20
"2889",6,3,1,9,2,12,9,6,6,3
"2890",472,682,242,728,555,359,335,319,382,441
"2891",2,1,2,7,2,9,3,2,2,0
"2892",198,248,72,134,104,113,300,122,117,258
"2893",79,81,41,85,128,94,708,80,70,53
"2894",110,192,57,93,122,136,899,128,39,73
"2895",438,523,344,417,469,374,363,267,465,275
"2896",3822,4896,1730,5941,3886,2951,6209,4608,2097,521
"2897",0,0,4,6,0,1,2,6,5,0
"2898",3,4,4,92,16,3,3,5,6,3
"2899",919,628,454,464,774,441,335,460,415,657
"2900",600191,49727,24527,45002,50916,28891,43507,65288,31442,26534
"2901",54,99,76,249,134,150,463,212,112,121
"2902",46,13,0,0,0,0,1,8,0,0
"2903",27,23,31,33,49,38,45,19,30,18
"2904",1134,1050,989,1376,1254,1181,1211,1605,838,569
"2905",8,11,8,5,10,7,9,10,6,5
"2906",74,56,71,84,60,76,49,57,50,61
"2907",7,3,5,3,4,4,0,8,0,5
"2908",1108,1350,5366,909,863,879,1036,720,854,863
"2909",107,140,49,136,178,156,178,204,193,145
"2910",47,51,18,42,49,15,32,44,22,41
"2911",2862,1365,1095,2260,2079,980,1321,1426,1789,1378
"2912",171,101,128,140,299,56,142,42,59,322
"2913",322,418,436,648,586,271,242,204,168,232
"2914",7,0,3,6,0,2,3,1,3,2
"2915",43,54,18,55,257,25,38,46,12,30
"2916",1151,558,437,910,738,574,449,566,456,446
"2917",535,502,414,3476,717,458,488,830,522,505
"2918",341,1842,255,1956,1696,1120,1376,439,776,499
"2919",165,65,21,93,89,68,115,92,36,120
"2920",1361,1745,1265,1833,1771,1606,1386,1638,1193,1203
"2921",28,37,22,44,37,246,25,36,20,29
"2922",617,1220,1044,1065,658,761,555,940,5129,330
"2923",696,1040,247,972,701,627,420,938,596,788
"2924",149,12,40,8,3655,73,57,125,134,57
"2925",573,7590,477,465,626,1292,833,1173,522,285
"2926",47,22,82,61,113,56,399,81,88,83
"2927",517,8144,254,736,839,641,348,323,264,524
"2928",74,250,22,91,190,65,171,102,44,56
"2929",963,1097,421,811,909,677,589,740,492,607
"2930",23,15,1,12,15,15,65,8,23,197
"2931",203,39,48,37,53,64,61,142,55,14
"2932",74,81,52,96,55,76,79,77,31,48
"2933",24,7,5,36,9,4,4,11,23,28
"2934",38,62,5,27,439,18,32,37,29,30
"2935",90,154,44,70,86,55,405,394,81,28
"2936",119,51,37,50,83,67,67,57,63,46
"2937",174,117,197,201,117,70,44,143,56,72
"2938",98,116,41,75,65,70,88,435,68,40
"2939",1,6,2,1,1,1,3,0,0,6
"2940",14,8,10,6,8,5,4,10,4,8
"2941",12810,8626,11087,9011,5912,6176,3704,9764,7863,7714
"2942",29,74,11,77,13,57,48,61,35,20
"2943",6,19,57,40,1,7,3,28,51,83
"2944",7,58,53,113,0,115,1,81,15,0
"2945",272,245,93,198,218,158,98,1023,90,152
"2946",43,48,4,207,243,364,18,87,119,75
"2947",98,15,40,43,16,13,21,19,19,16
"2948",77,29,42,35,21,37,28,36,37,9
"2949",3575,2314,1753,2920,2417,2519,20633,3257,1576,1848
"2950",323,413,124,999,99,197,36,47,157,32
"2951",13,78,20,0,7,3,6,1,14,2
"2952",2342,2081,703,1034,979,1162,1368,1305,949,1048
"2953",197,154,69,116,164,106,156,74,93,57
"2954",6,8,0,12,21,3,0,36,10,13
"2955",144,56,139,57,81,562,16,90,23,17
"2956",2080,898,374,2114,199,661,4162,2194,555,103
"2957",322,181,72,160,120,225,192,133,93,123
"2958",7,4,4,2,4,0,0,3,1,3
"2959",20,51,10,28,11,1,13,42,32,65
"2960",2555,3820,2083,3722,4707,2265,1549,1937,4568,2739
"2961",327,358,212,268,204,225,271,294,1315,202
"2962",29,27,9,20,12,6,12,7,12,7
"2963",818,4248,412,731,958,623,447,540,395,449
"2964",644,207,511,532,640,719,223,1741,250,403
"2965",449,3163,304,353,547,539,143,439,194,251
"2966",152,204,13,32,772,64,127,65,113,148
"2967",2317,4000,13246,2811,3721,5227,1686,2395,2392,3045
"2968",3467,7888,1376,1726,14960,943,3481,3172,2873,3051
"2969",45,27,2,7,28,11,9,20,14,33
"2970",98,60,3,188,97,113,151,10,15,94
"2971",1912,1176,617,1846,2991,1039,1226,2482,749,1401
"2972",1787,1706,964,1919,1368,1987,1002,1488,1183,1367
"2973",7437,7381,5586,9747,7911,5441,6375,10437,8947,3883
"2974",150,55,62,87,49,133,60,74,83,37
"2975",2656,2566,2127,2022,3026,2253,1135,3061,2345,2311
"2976",5,19,6,11,1,9,8,5,9,17
"2977",158,68,134,1953,23,38,0,101,52,9
"2978",1163,855,355,681,738,542,575,1230,861,767
"2979",39,1,1,21,1,16,20,8,162,4
"2980",262,331,196,397,182,288,155,161,272,2117
"2981",2,6,11,7,5,11,19,15,1,0
"2982",4,13,0,2,0,0,2,0,0,2
"2983",6,3,1,2,5,1,0,2,0,7
"2984",475,10993,758,908,440,61,639,107,415,404
"2985",10747,10369,2807,21407,10109,1025,8444,5398,5745,7832
"2986",561,440,276,336,305,398,443,1684,1605,347
"2987",230,258,117,295,176,70,126,214,53,17
"2988",18,11,0,1,1,0,4,1,0,1
"2989",387,310,308,462,315,363,349,420,365,444
"2990",48,20,3,8,1998,34,8,31,26,25
"2991",9,64,25,19,222,46,94,83,48,32
"2992",287,148,154,306,224,305,268,227,178,134
"2993",1682,1013,941,1546,2194,1305,802,1662,968,602
"2994",6546,4495,1915,5138,8204,2864,5077,6789,5156,4518
"2995",2569,3977,1438,1693,1963,995,2907,2764,5779,1524
"2996",16,3,5,0,0,3,5,0,2,1
"2997",432,242,346,343,538,223,316,162,258,104
"2998",5315,35696,3392,5342,5236,4264,3123,3596,4425,5446
"2999",5,5,1,6,3,10,16,4,0,2
"3000",2270,1811,956,1328,1791,5144,1714,929,1262,1820
"3001",0,5,0,19,5,2,0,6,1,0
"3002",126,191,44,92,107,139,148,262,74,74
"3003",467,372,72,396,485,206,177,330,101,190
"3004",0,51,3,39,34,0,53,50,175,9
"3005",76,18,43,33,18,41,15,20,24,19
"3006",27,17,10,7,16,38,6,18,33,22
"3007",11,7,3,5,7,6,8,6,3,4
"3008",1827,1206,687,1199,1305,1363,1590,1177,667,1144
"3009",14,16,0,11,8,0,10,0,2,6
"3010",4,5,4,6,11,3,4,7,3,2
"3011",890,104,380,335,110,169,210,2665,416,403
"3012",1106,893,484,962,2072,732,2790,799,468,287
"3013",216,154,128,271,172,189,1573,222,132,151
"3014",789,1085,623,1009,777,715,899,730,658,692
"3015",1882,743,642,1639,1258,1033,277,81,391,902
"3016",297,274,161,309,224,150,68,340,214,195
"3017",5,27,28,0,10,0,54,10,0,45
"3018",4748,2216,1773,7751,4219,4544,2126,2474,1837,2545
"3019",435,356,342,506,547,423,124,279,172,2357
"3020",19,11,7,334,14,10,17,8,43,16
"3021",0,0,0,0,8,6,8,16,28,9
"3022",2678,446,191,422,452,443,171,270,290,152
"3023",169,114,91,217,85,118,55,155,50,78
"3024",183,157,152,277,316,125,119,156,92,168
"3025",11,7,2,2,5,0,0,0,53,3
"3026",1,10,4,7,9,0,4,36,3,0
"3027",7941,6458,7952,6643,8982,6210,3554,55005,2744,4911
"3028",480,54,1,35,15,15,1,28,20,16
"3029",730,752,488,561,782,498,634,568,786,423
"3030",580,701,558,753,1246,1725,1486,439,912,721
"3031",12,21,3,5,53,2,52,12,59,10
"3032",5,4,2,2,4,9,1,6,7,28
"3033",604,414,83,470,284,278,260,608,165,272
"3034",342,188,169,157,296,186,240,267,146,127
"3035",114,133,91,153,157,162,123,186,155,72
"3036",0,13,4,40,23,11,16,11,7,5
"3037",417,350,102,228,3472,284,498,201,154,136
"3038",1664,7148,682,1579,1105,901,786,2162,909,770
"3039",54,19,11,24,20,26,21,22,13,12
"3040",536,469,301,332,372,313,361,359,315,244
"3041",1091,563,7216,1406,949,919,665,511,820,543
"3042",14962,10446,3188,11921,16130,9541,7996,12621,3510,10807
"3043",1329,1264,472,4621,761,10442,516,722,708,710
"3044",48,33,27,24,67,26,22,48,5,143
"3045",343,103,50,45,37,42,40,63,32,39
"3046",109,112,67,79,106,70,108,109,79,53
"3047",159,117,4,270,391,49,8,95,6,170
"3048",417,612,146,344,440,234,321,347,229,357
"3049",2019,271,468,509,464,436,977,277,296,610
"3050",1628,846,517,1449,1175,510,1160,322,482,547
"3051",3402,14079,18497,763,14761,717,13751,1114,949,581
"3052",1172,1083,866,1237,1554,656,394,1544,1067,276
"3053",5592,2759,4299,2879,2814,4329,2530,8419,4420,12268
"3054",2,10,1,4,0,5,1,0,1,0
"3055",2056,1224,2353,1513,1188,2601,1570,862,872,599
"3056",2132,958,1154,866,872,1872,941,1118,837,1009
"3057",33,56,76,77,46,60,56,199,70,688
"3058",67,72,74,118,111,86,88,102,85,93
"3059",2,3,6,0,6,0,2,0,0,7
"3060",3,2,0,8,0,2,18,2,2,0
"3061",423,339,33,196,1413,369,160,68,338,289
"3062",586,364,379,519,518,275,246,2838,335,319
"3063",300,317,232,306,290,306,245,312,155,183
"3064",2660,1889,1483,2654,2235,1214,1027,1768,2191,1890
"3065",7,7,7,1,8,7,10,4,1,2
"3066",2,7,5,10,0,0,151,0,375,127
"3067",14,8,12,104,5,1,3,13,3,19
"3068",8,5,2,2,10,3,2,8,1,5
"3069",345,261,255,363,310,370,341,302,300,198
"3070",789,1423,990,1125,848,564,632,1477,748,603
"3071",5,90,33,74,50,55,149,180,25,142
"3072",326,163,189,207,427,219,346,148,316,240
"3073",154,232,83,177,150,175,922,259,104,102
"3074",1448,1998,5585,1387,864,1218,979,889,1063,734
"3075",22,15,4,5,45,4,18,31,26,11
"3076",13,48,1,266,27,31,0,2,21,251
"3077",132,67,63,117,97,38,40,124,65,52
"3078",58,52,30,61,32,25,53,80,36,40
"3079",5,8,4,13,16,4,6,9,12,3
"3080",1669,2265,1626,1326,1589,2186,2343,1843,1505,1592
"3081",65,65,41,75,63,55,90,89,75,66
"3082",300,2682,1300,1031,237,6919,1497,359,629,835
"3083",271,1101,203,354,129,95,255,182,160,210
"3084",56,44,28,65,293,56,39,50,37,26
"3085",9,0,72,3,2,0,30,7,267,1
"3086",82,25,20,13,8,50,13,25,0,3
"3087",605,131,230,249,190,25,267,119,79,145
"3088",9363,7919,4351,6347,8747,5722,5941,49230,4253,5007
"3089",1261,1045,1021,833,1110,973,696,1189,781,606
